"","source","target","cluster","pct","srcpop","tarpop"
"39","Weston County, Wyoming","Campbell County, Wyoming",1,0.0855993340732519,7208,46133
"114","Crook County, Wyoming","Campbell County, Wyoming",1,0.0755329662572356,7083,46133
"1102","Lincoln County, Wyoming","Teton County, Wyoming",1,0.0528554070473876,18106,21294
"190","Converse County, Wyoming","Natrona County, Wyoming",1,0.0504590472059568,13833,75450
"188","Converse County, Wyoming","Campbell County, Wyoming",1,0.0451818116099183,13833,46133
"951","Uinta County, Wyoming","Sweetwater County, Wyoming",1,0.0380244341320201,21118,43806
"912","Big Horn County, Wyoming","Park County, Wyoming",1,0.0378813849845732,11668,28205
"570","Goshen County, Wyoming","Scotts Bluff County, Nebraska",1,0.0279266359725262,13249,36970
"1026","Carbon County, Wyoming","Sweetwater County, Wyoming",1,0.022851746931067,15885,43806
"266","Johnson County, Wyoming","Sheridan County, Wyoming",1,0.0197222546388143,8569,29116
"230","Sheridan County, Wyoming","Big Horn County, Montana",1,0.0147685121582635,29116,12865
"798","Hot Springs County, Wyoming","Washakie County, Wyoming",1,0.0128844555278471,4812,8533
"571","Goshen County, Wyoming","Platte County, Wyoming",1,0.0118499509396936,13249,8667
"262","Johnson County, Wyoming","Campbell County, Wyoming",1,0.0100361769167931,8569,46133
"494","Albany County, Wyoming","Laramie County, Wyoming",1,0.00906361056778424,36299,91738
"229","Sheridan County, Wyoming","Johnson County, Wyoming",1,0.00862068965517241,29116,8569
"875","Park County, Wyoming","Big Horn County, Wyoming",1,0.00776458074809431,28205,11668
"799","Hot Springs County, Wyoming","Fremont County, Wyoming",1,0.00748129675810474,4812,40123
"225","Sheridan County, Wyoming","Campbell County, Wyoming",1,0.00652562165132573,29116,46133
"992","Sweetwater County, Wyoming","Sublette County, Wyoming",1,0.00545587362461763,43806,10247
"153","Natrona County, Wyoming","Converse County, Wyoming",1,0.00459907223326706,75450,13833
"1139","Sublette County, Wyoming","Teton County, Wyoming",1,0.0040987606128623,10247,21294
"909","Big Horn County, Wyoming","Washakie County, Wyoming",1,0.0039424065821049,11668,8533
"1103","Lincoln County, Wyoming","Sublette County, Wyoming",1,0.00375566110681542,18106,10247
"40","Weston County, Wyoming","Crook County, Wyoming",1,0.00374583795782464,7208,7083
"120","Crook County, Wyoming","Lawrence County, South Dakota",1,0.00352957786248765,7083,24097
"634","Niobrara County, Wyoming","Natrona County, Wyoming",1,0.00322061191626409,2484,75450
"1104","Lincoln County, Wyoming","Caribou County, Idaho",1,0.00320335800287198,18106,6963
"572","Goshen County, Wyoming","Niobrara County, Wyoming",1,0.00301909578081365,13249,2484
"954","Uinta County, Wyoming","Lincoln County, Wyoming",1,0.00298323704896297,21118,18106
"840","Fremont County, Wyoming","Sweetwater County, Wyoming",1,0.00296587991924831,40123,43806
"762","Washakie County, Wyoming","Fremont County, Wyoming",1,0.00292980194538849,8533,40123
"598","Platte County, Wyoming","Converse County, Wyoming",1,0.00288450444213684,8667,13833
"605","Platte County, Wyoming","Laramie County, Wyoming",1,0.00265374408676589,8667,91738
"844","Fremont County, Wyoming","Sublette County, Wyoming",1,0.00256710614859308,40123,10247
"955","Uinta County, Wyoming","Sublette County, Wyoming",1,0.00250970735865139,21118,10247
"608","Platte County, Wyoming","Goshen County, Wyoming",1,0.00242298373139495,8667,13249
"988","Sweetwater County, Wyoming","Uinta County, Wyoming",1,0.00237410400401771,43806,21118
"456","Laramie County, Wyoming","Larimer County, Colorado",1,0.00210381739301053,91738,299630
"1100","Lincoln County, Wyoming","Sweetwater County, Wyoming",1,0.00204352148459074,18106,43806
"457","Laramie County, Wyoming","Albany County, Wyoming",1,0.00184220279491596,91738,36299
"1099","Lincoln County, Wyoming","Uinta County, Wyoming",1,0.00182260024301337,18106,21118
"455","Laramie County, Wyoming","Weld County, Colorado",1,0.00152608515555168,91738,252825
"264","Johnson County, Wyoming","Natrona County, Wyoming",1,0.00140039677908741,8569,75450
"1140","Sublette County, Wyoming","Lincoln County, Wyoming",1,0.00136625353762077,10247,18106
"1066","Teton County, Wyoming","Sublette County, Wyoming",1,0.00122100122100122,21294,10247
"508","Albany County, Wyoming","Carbon County, Wyoming",1,0.00112950769993664,36299,15885
"178","Natrona County, Wyoming","Sublette County, Wyoming",1,0.00106030483764082,75450,10247
"568","Goshen County, Wyoming","Laramie County, Wyoming",1,0.00105668352328478,13249,91738
"957","Uinta County, Wyoming","Salt Lake County, Utah",1,0.00104176531868548,21118,1029655
"991","Sweetwater County, Wyoming","Lincoln County, Wyoming",1,0.000730493539697758,43806,18106
"497","Albany County, Wyoming","Platte County, Wyoming",1,0.000716273175569575,36299,8667
"595","Platte County, Wyoming","Campbell County, Wyoming",1,0.000692281066112842,8667,46133
"989","Sweetwater County, Wyoming","Carbon County, Wyoming",1,0.000639181847235539,43806,15885
"470","Laramie County, Wyoming","Sweetwater County, Wyoming",1,0.000610434062220672,91738,43806
"895","Big Horn County, Wyoming","Sheridan County, Wyoming",1,0.000599931436407268,11668,29116
"151","Natrona County, Wyoming","Campbell County, Wyoming",1,0.000583167660702452,75450,46133
"856","Park County, Wyoming","Natrona County, Wyoming",1,0.000567275305796845,28205,75450
"500","Albany County, Wyoming","Adams County, Colorado",1,0.000495881429240475,36299,441603
"958","Uinta County, Wyoming","Summit County, Utah",1,0.000473529690311583,21118,36324
"819","Fremont County, Wyoming","Natrona County, Wyoming",1,0.000398773770655235,40123,75450
"478","Laramie County, Wyoming","Denver County, Colorado",1,0.00038152128888792,91738,600158
"560","Goshen County, Wyoming","Natrona County, Wyoming",1,0.000377386972601706,13249,75450
"610","Platte County, Wyoming","Douglas County, Nebraska",1,0.000346140533056421,8667,517110
