"","source","target","cluster","pct","srcpop","tarpop"
"136","Tooele County, Utah","Salt Lake County, Utah",1,0.146398021230547,58218,1029655
"48","Davis County, Utah","Salt Lake County, Utah",1,0.135412214213698,306479,1029655
"226","Wasatch County, Utah","Summit County, Utah",1,0.0945601359966001,23530,36324
"360","Juab County, Utah","Utah County, Utah",1,0.0937926995900839,10246,516564
"269","Summit County, Utah","Salt Lake County, Utah",1,0.0924457658848144,36324,1029655
"89","Morgan County, Utah","Weber County, Utah",1,0.091033900095047,9469,231236
"1","Weber County, Utah","Davis County, Utah",1,0.0880442491653549,231236,306479
"811","Emery County, Utah","Carbon County, Utah",1,0.0744351311953353,10976,21403
"90","Morgan County, Utah","Davis County, Utah",1,0.0596683915936213,9469,306479
"313","Utah County, Utah","Salt Lake County, Utah",1,0.054272074709039,516564,1029655
"441","Box Elder County, Utah","Weber County, Utah",1,0.0529464732366183,49975,231236
"45","Davis County, Utah","Weber County, Utah",1,0.0512987839297309,306479,231236
"1710","Duchesne County, Utah","Uintah County, Utah",1,0.0411135594131241,18607,32588
"225","Wasatch County, Utah","Salt Lake County, Utah",1,0.0365915852103697,23530,1029655
"585","Piute County, Utah","Sevier County, Utah",1,0.0353470437017995,1556,20802
"92","Morgan County, Utah","Salt Lake County, Utah",1,0.034744957228852,9469,1029655
"4","Weber County, Utah","Salt Lake County, Utah",1,0.034255046792022,231236,1029655
"1441","Kane County, Utah","Coconino County, Arizona",1,0.0298947368421053,7125,134421
"1666","Uintah County, Utah","Duchesne County, Utah",1,0.0215723579231619,32588,18607
"855","Carbon County, Utah","Emery County, Utah",1,0.0205111432976685,21403,10976
"227","Wasatch County, Utah","Utah County, Utah",1,0.0196345091372716,23530,516564
"990","Rich County, Utah","Uinta County, Wyoming",1,0.019434628975265,2264,21118
"442","Box Elder County, Utah","Davis County, Utah",1,0.0161480740370185,49975,306479
"991","Rich County, Utah","Lincoln County, Wyoming",1,0.0154593639575972,2264,18106
"450","Box Elder County, Utah","Cache County, Utah",1,0.0151075537768884,49975,112656
"624","Sanpete County, Utah","Utah County, Utah",1,0.0145568255337503,27822,516564
"357","Juab County, Utah","Salt Lake County, Utah",1,0.0129806753855163,10246,1029655
"587","Piute County, Utah","Garfield County, Utah",1,0.012853470437018,1556,5172
"406","Cache County, Utah","Box Elder County, Utah",1,0.0123473228234626,112656,49975
"1306","San Juan County, Utah","Grand County, Utah",1,0.0122745151227451,14746,9225
"1125","Iron County, Utah","Washington County, Utah",1,0.0120876026254793,46163,138115
"629","Sanpete County, Utah","Sevier County, Utah",1,0.0110344331823737,27822,20802
"542","Sevier County, Utah","Sanpete County, Utah",1,0.0103836169599077,20802,27822
"183","Salt Lake County, Utah","Utah County, Utah",1,0.00992468351049623,1029655,516564
"10","Weber County, Utah","Box Elder County, Utah",1,0.00829888079710772,231236,49975
"445","Box Elder County, Utah","Salt Lake County, Utah",1,0.00782391195597799,49975,1029655
"178","Salt Lake County, Utah","Davis County, Utah",1,0.00777153512584312,1029655,306479
"1980","Daggett County, Utah","Sweetwater County, Wyoming",1,0.00755429650613787,1059,43806
"1438","Kane County, Utah","San Juan County, Utah",1,0.00743859649122807,7125,14746
"134","Tooele County, Utah","Davis County, Utah",1,0.00728297090247003,58218,306479
"94","Morgan County, Utah","Summit County, Utah",1,0.00654768190938853,9469,36324
"1350","Grand County, Utah","San Juan County, Utah",1,0.00628726287262873,9225,14746
"489","Millard County, Utah","Salt Lake County, Utah",1,0.00599856034551708,12503,1029655
"621","Sanpete County, Utah","Salt Lake County, Utah",1,0.00578678743440443,27822,1029655
"1082","Washington County, Utah","Clark County, Nevada",1,0.00571263077869891,138115,1951269
"1214","Beaver County, Utah","Iron County, Utah",1,0.00543068336098959,6629,46163
"709","Wayne County, Utah","Salt Lake County, Utah",1,0.00539956803455724,2778,1029655
"149","Tooele County, Utah","Elko County, Nevada",1,0.00537634408602151,58218,48818
"1307","San Juan County, Utah","Navajo County, Arizona",1,0.00535738505357385,14746,107449
"270","Summit County, Utah","Wasatch County, Utah",1,0.00534082149543002,36324,23530
"978","Rich County, Utah","Cache County, Utah",1,0.00530035335689046,2264,112656
"363","Juab County, Utah","Millard County, Utah",1,0.00468475502635175,10246,12503
"625","Sanpete County, Utah","Juab County, Utah",1,0.00463661850334268,27822,10246
"397","Cache County, Utah","Weber County, Utah",1,0.00425188183496662,112656,231236
"1081","Washington County, Utah","Iron County, Utah",1,0.00396770806936249,138115,46163
"182","Salt Lake County, Utah","Summit County, Utah",1,0.00382458202019123,1029655,36324
"401","Cache County, Utah","Salt Lake County, Utah",1,0.00320444539127965,112656,1029655
"1310","San Juan County, Utah","Montezuma County, Colorado",1,0.00318730503187305,14746,25535
"1667","Uintah County, Utah","Rio Blanco County, Colorado",1,0.00279243893457715,32588,6666
"577","Piute County, Utah","Salt Lake County, Utah",1,0.0025706940874036,1556,1029655
"586","Piute County, Utah","Sanpete County, Utah",1,0.0025706940874036,1556,27822
"398","Cache County, Utah","Davis County, Utah",1,0.00253870188893623,112656,306479
"717","Wayne County, Utah","Sevier County, Utah",1,0.00251979841612671,2778,20802
"416","Cache County, Utah","Franklin County, Idaho",1,0.00246768924868627,112656,12786
"51","Davis County, Utah","Utah County, Utah",1,0.00243083539165816,306479,516564
"533","Sevier County, Utah","Salt Lake County, Utah",1,0.00235554273627536,20802,1029655
"271","Summit County, Utah","Utah County, Utah",1,0.00220240061667217,36324,516564
"1126","Iron County, Utah","Clark County, Nevada",1,0.00216623702965578,46163,1951269
"356","Juab County, Utah","Tooele County, Utah",1,0.00214717938707788,10246,58218
"1311","San Juan County, Utah","San Juan County, New Mexico",1,0.0018988200189882,14746,130044
"265","Summit County, Utah","Weber County, Utah",1,0.00184451051646294,36324,231236
"685","Garfield County, Utah","Iron County, Utah",1,0.00174013921113689,5172,46163
"180","Salt Lake County, Utah","Tooele County, Utah",1,0.00163258567189981,1029655,58218
"310","Utah County, Utah","Davis County, Utah",1,0.00157386112853393,516564,306479
"1312","San Juan County, Utah","Apache County, Arizona",1,0.00155974501559745,14746,71518
"1061","Washington County, Utah","Salt Lake County, Utah",1,0.0015059913839916,138115,1029655
"7","Weber County, Utah","Utah County, Utah",1,0.00149630680343891,231236,516564
"177","Salt Lake County, Utah","Weber County, Utah",1,0.00149467540098382,1029655,231236
"541","Sevier County, Utah","Piute County, Utah",1,0.00149024132294972,20802,1556
"822","Emery County, Utah","Grand County, Utah",1,0.00145772594752187,10976,9225
"634","Sanpete County, Utah","Emery County, Utah",1,0.00143771116382719,27822,10976
"635","Sanpete County, Utah","Carbon County, Utah",1,0.00132988282654015,27822,21403
"969","Rich County, Utah","Weber County, Utah",1,0.00132508833922261,2264,231236
"138","Tooele County, Utah","Summit County, Utah",1,0.00123673090796661,58218,36324
"54","Davis County, Utah","Box Elder County, Utah",1,0.00112895173894459,306479,49975
"266","Summit County, Utah","Davis County, Utah",1,0.00112873031604449,36324,306479
"1424","Kane County, Utah","Garfield County, Utah",1,0.00112280701754386,7125,5172
"496","Millard County, Utah","Sevier County, Utah",1,0.00111973126449652,12503,20802
"1213","Beaver County, Utah","Washington County, Utah",1,0.00105596620908131,6629,138115
"315","Utah County, Utah","Summit County, Utah",1,0.000973741879031446,516564,36324
"689","Garfield County, Utah","San Juan County, Utah",1,0.000966744006187161,5172,14746
"139","Tooele County, Utah","Utah County, Utah",1,0.000927548180974956,58218,516564
"50","Davis County, Utah","Summit County, Utah",1,0.000913602563307763,306479,36324
"536","Sevier County, Utah","Utah County, Utah",1,0.000913373714065955,20802,516564
"841","Carbon County, Utah","Salt Lake County, Utah",1,0.000841003597626501,21403,1029655
"2","Weber County, Utah","Morgan County, Utah",1,0.000800048435364736,231236,9469
"309","Utah County, Utah","Weber County, Utah",1,0.000782090892900009,516564,231236
"312","Utah County, Utah","Tooele County, Utah",1,0.000762732207432187,516564,58218
"9","Weber County, Utah","Cache County, Utah",1,0.000756802573993669,231236,112656
"314","Utah County, Utah","Wasatch County, Utah",1,0.000735630047777236,516564,23530
"133","Tooele County, Utah","Weber County, Utah",1,0.000704249544814319,58218,231236
"1433","Kane County, Utah","Washington County, Utah",1,0.000701754385964912,7125,138115
"267","Summit County, Utah","Morgan County, Utah",1,0.000660720185001652,36324,9469
"1633","Uintah County, Utah","Salt Lake County, Utah",1,0.000644408984902418,32588,1029655
"498","Millard County, Utah","Sanpete County, Utah",1,0.000639846436855155,12503,27822
"800","Emery County, Utah","Utah County, Utah",1,0.000637755102040816,10976,516564
"686","Garfield County, Utah","Clark County, Nevada",1,0.000580046403712297,5172,1951269
"316","Utah County, Utah","Juab County, Utah",1,0.000561401878566838,516564,10246
"797","Emery County, Utah","Salt Lake County, Utah",1,0.0005466472303207,10976,1029655
"6","Weber County, Utah","Summit County, Utah",1,0.000540573267138335,231236,36324
"492","Millard County, Utah","Utah County, Utah",1,0.000479884827641366,12503,516564
"305","Summit County, Utah","Dallas County, Texas",1,0.000468010131042837,36324,2368139
"1127","Iron County, Utah","Beaver County, Utah",1,0.000454909776227715,46163,6629
"970","Rich County, Utah","Davis County, Utah",1,0.000441696113074206,2264,306479
"1084","Washington County, Utah","Mohave County, Arizona",1,0.000434420591536039,138115,200186
"554","Sevier County, Utah","Clark County, Nevada",1,0.000432650706662821,20802,1951269
"493","Millard County, Utah","Juab County, Utah",1,0.000399904023034471,12503,10246
"404","Cache County, Utah","Utah County, Utah",1,0.00039944610140605,112656,516564
"306","Summit County, Utah","Queens County, New York",1,0.00038542010791763,36324,2230722
"1677","Duchesne County, Utah","Salt Lake County, Utah",1,0.000376202504433815,18607,1029655
"1105","Iron County, Utah","Salt Lake County, Utah",1,0.000346597924744926,46163,1029655
"552","Sevier County, Utah","Washington County, Utah",1,0.000336506105182194,20802,138115
"448","Box Elder County, Utah","Utah County, Utah",1,0.00032016008004002,49975,516564
"47","Davis County, Utah","Tooele County, Utah",1,0.000303446565670079,306479,58218
"1421","Kane County, Utah","Sevier County, Utah",1,0.000280701754385965,7125,20802
"844","Carbon County, Utah","Utah County, Utah",1,0.000280334532542167,21403,516564
"142","Tooele County, Utah","Box Elder County, Utah",1,0.00024047545432684,58218,49975
"181","Salt Lake County, Utah","Wasatch County, Utah",1,0.000238914976375582,1029655,23530
"95","Morgan County, Utah","Utah County, Utah",1,0.000211215545464146,9469,516564
"1309","San Juan County, Utah","Coconino County, Arizona",1,0.00020344500203445,14746,134421
"334","Utah County, Utah","Clark County, Nevada",1,0.000203266197412131,516564,1951269
"327","Utah County, Utah","Carbon County, Utah",1,0.000199394460318567,516564,21403
"433","Cache County, Utah","Uintah County, Utah",1,0.000195284760687402,112656,32588
"359","Juab County, Utah","Summit County, Utah",1,0.000195198126097989,10246,36324
"289","Summit County, Utah","Iron County, Utah",1,0.000192710053958815,36324,46163
"879","Carbon County, Utah","Sweetwater County, Wyoming",1,0.000186889688361445,21403,43806
"53","Davis County, Utah","Cache County, Utah",1,0.00018598337895908,306479,112656
"659","Sanpete County, Utah","Sweetwater County, Wyoming",1,0.000179713895478398,27822,43806
"1064","Washington County, Utah","Utah County, Utah",1,0.000166527893422148,138115,516564
"1678","Duchesne County, Utah","Wasatch County, Utah",1,0.00016122964475735,18607,23530
"185","Salt Lake County, Utah","Cache County, Utah",1,0.000156363053644182,1029655,112656
"24","Weber County, Utah","Washington County, Utah",1,0.000151360514798734,231236,138115
"46","Davis County, Utah","Morgan County, Utah",1,0.000146828983388748,306479,9469
"1448","Kane County, Utah","Los Angeles County, California",1,0.000140350877192983,7125,9818605
"345","Utah County, Utah","Uintah County, Utah",1,0.000123895586994061,516564,32588
"319","Utah County, Utah","Millard County, Utah",1,0.000116152112806932,516564,12503
"213","Salt Lake County, Utah","Uintah County, Utah",1,0.000110716696369172,1029655,32588
"1088","Washington County, Utah","Kane County, Utah",1,0.00010860514788401,138115,7125
"84","Davis County, Utah","Los Angeles County, California",1,9.78859889258318e-05,306479,9818605
"366","Juab County, Utah","Sanpete County, Utah",1,9.75990630489947e-05,10246,27822
"200","Salt Lake County, Utah","Washington County, Utah",1,9.61487100048074e-05,1029655,138115
"216","Salt Lake County, Utah","Los Angeles County, California",1,9.42063118228921e-05,1029655,9818605
"1132","Iron County, Utah","Kane County, Utah",1,8.66494811862315e-05,46163,7125
"1116","Iron County, Utah","Garfield County, Utah",1,8.66494811862314e-05,46163,5172
"348","Utah County, Utah","Los Angeles County, California",1,8.51782160584168e-05,516564,9818605
"285","Summit County, Utah","Uinta County, Wyoming",1,8.25900231252064e-05,36324,21118
"304","Summit County, Utah","Los Angeles County, California",1,8.25900231252064e-05,36324,9818605
"202","Salt Lake County, Utah","Clark County, Nevada",1,8.15807236404427e-05,1029655,1951269
"508","Millard County, Utah","Washington County, Utah",1,7.99808046068944e-05,12503,138115
"418","Cache County, Utah","Rich County, Utah",1,7.988922028121e-05,112656,2264
"1072","Washington County, Utah","Garfield County, Utah",1,7.96437751149404e-05,138115,5172
"3","Weber County, Utah","Tooele County, Utah",1,7.35179643308135e-05,231236,58218
"322","Utah County, Utah","Sanpete County, Utah",1,6.58195305905948e-05,516564,27822
"70","Davis County, Utah","Clark County, Nevada",1,5.87315933554991e-05,306479,1951269
"332","Utah County, Utah","Washington County, Utah",1,5.8076056403466e-05,516564,138115
"326","Utah County, Utah","Emery County, Utah",1,5.61401878566838e-05,516564,10976
"307","Summit County, Utah","Sweetwater County, Wyoming",1,5.50600154168043e-05,36324,43806
"553","Sevier County, Utah","Iron County, Utah",1,4.80723007403135e-05,20802,46163
"873","Carbon County, Utah","Uintah County, Utah",1,4.67224220903611e-05,21403,32588
"186","Salt Lake County, Utah","Box Elder County, Utah",1,4.66175563659672e-05,1029655,49975
"351","Utah County, Utah","Sweetwater County, Wyoming",1,4.45249765759906e-05,516564,43806
"197","Salt Lake County, Utah","Uinta County, Wyoming",1,3.69055654563907e-05,1029655,21118
"642","Sanpete County, Utah","Clark County, Nevada",1,3.59427790956796e-05,27822,1951269
"214","Salt Lake County, Utah","Duchesne County, Utah",1,3.30207690925601e-05,1029655,18607
"81","Davis County, Utah","Uintah County, Utah",1,3.26286629752773e-05,306479,32588
"219","Salt Lake County, Utah","Sweetwater County, Wyoming",1,3.20495700016025e-05,1029655,43806
"195","Salt Lake County, Utah","Carbon County, Utah",1,2.52511763648989e-05,1029655,21403
"320","Utah County, Utah","Sevier County, Utah",1,2.51662911081686e-05,516564,20802
"193","Salt Lake County, Utah","Elko County, Nevada",1,1.65103845462801e-05,1029655,48818
"82","Davis County, Utah","Duchesne County, Utah",1,1.63143314876386e-05,306479,18607
"38","Weber County, Utah","Duchesne County, Utah",1,1.297375841132e-05,231236,18607
"21","Weber County, Utah","Uinta County, Wyoming",1,1.297375841132e-05,231236,21118
"179","Salt Lake County, Utah","Morgan County, Utah",1,1.26255881824495e-05,1029655,9469
"217","Salt Lake County, Utah","Dallas County, Texas",1,1.06831900005342e-05,1029655,2368139
"65","Davis County, Utah","Uinta County, Wyoming",1,9.78859889258317e-06,306479,21118
"12","Weber County, Utah","Sevier County, Utah",1,8.64917227421337e-06,231236,20802
"184","Salt Lake County, Utah","Juab County, Utah",1,6.79839363670356e-06,1029655,10246
"317","Utah County, Utah","Cache County, Utah",1,5.8076056403466e-06,516564,112656
"340","Utah County, Utah","Kane County, Utah",1,3.8717370935644e-06,516564,7125
"209","Salt Lake County, Utah","Coconino County, Arizona",1,2.91359727287296e-06,1029655,134421
"192","Salt Lake County, Utah","Wayne County, Utah",1,2.91359727287295e-06,1029655,2778
"5","Weber County, Utah","Wasatch County, Utah",1,0,231236,23530
"8","Weber County, Utah","Juab County, Utah",1,0,231236,10246
"11","Weber County, Utah","Millard County, Utah",1,0,231236,12503
"13","Weber County, Utah","Piute County, Utah",1,0,231236,1556
"14","Weber County, Utah","Sanpete County, Utah",1,0,231236,27822
"15","Weber County, Utah","Garfield County, Utah",1,0,231236,5172
"16","Weber County, Utah","Wayne County, Utah",1,0,231236,2778
"17","Weber County, Utah","Elko County, Nevada",1,0,231236,48818
"18","Weber County, Utah","Emery County, Utah",1,0,231236,10976
"19","Weber County, Utah","Carbon County, Utah",1,0,231236,21403
"20","Weber County, Utah","Franklin County, Idaho",1,0,231236,12786
"22","Weber County, Utah","Rich County, Utah",1,0,231236,2264
"23","Weber County, Utah","Lincoln County, Wyoming",1,0,231236,18106
"25","Weber County, Utah","Iron County, Utah",1,0,231236,46163
"26","Weber County, Utah","Clark County, Nevada",1,0,231236,1951269
"27","Weber County, Utah","Beaver County, Utah",1,0,231236,6629
"28","Weber County, Utah","Mohave County, Arizona",1,0,231236,200186
"29","Weber County, Utah","San Juan County, Utah",1,0,231236,14746
"30","Weber County, Utah","Grand County, Utah",1,0,231236,9225
"31","Weber County, Utah","Navajo County, Arizona",1,0,231236,107449
"32","Weber County, Utah","Kane County, Utah",1,0,231236,7125
"33","Weber County, Utah","Coconino County, Arizona",1,0,231236,134421
"34","Weber County, Utah","Montezuma County, Colorado",1,0,231236,25535
"35","Weber County, Utah","San Juan County, New Mexico",1,0,231236,130044
"36","Weber County, Utah","Apache County, Arizona",1,0,231236,71518
"37","Weber County, Utah","Uintah County, Utah",1,0,231236,32588
"39","Weber County, Utah","Rio Blanco County, Colorado",1,0,231236,6666
"40","Weber County, Utah","Los Angeles County, California",1,0,231236,9818605
"41","Weber County, Utah","Dallas County, Texas",1,0,231236,2368139
"42","Weber County, Utah","Queens County, New York",1,0,231236,2230722
"43","Weber County, Utah","Sweetwater County, Wyoming",1,0,231236,43806
"44","Weber County, Utah","Daggett County, Utah",1,0,231236,1059
"49","Davis County, Utah","Wasatch County, Utah",1,0,306479,23530
"52","Davis County, Utah","Juab County, Utah",1,0,306479,10246
"55","Davis County, Utah","Millard County, Utah",1,0,306479,12503
"56","Davis County, Utah","Sevier County, Utah",1,0,306479,20802
"57","Davis County, Utah","Piute County, Utah",1,0,306479,1556
"58","Davis County, Utah","Sanpete County, Utah",1,0,306479,27822
"59","Davis County, Utah","Garfield County, Utah",1,0,306479,5172
"60","Davis County, Utah","Wayne County, Utah",1,0,306479,2778
"61","Davis County, Utah","Elko County, Nevada",1,0,306479,48818
"62","Davis County, Utah","Emery County, Utah",1,0,306479,10976
"63","Davis County, Utah","Carbon County, Utah",1,0,306479,21403
"64","Davis County, Utah","Franklin County, Idaho",1,0,306479,12786
"66","Davis County, Utah","Rich County, Utah",1,0,306479,2264
"67","Davis County, Utah","Lincoln County, Wyoming",1,0,306479,18106
"68","Davis County, Utah","Washington County, Utah",1,0,306479,138115
"69","Davis County, Utah","Iron County, Utah",1,0,306479,46163
"71","Davis County, Utah","Beaver County, Utah",1,0,306479,6629
"72","Davis County, Utah","Mohave County, Arizona",1,0,306479,200186
"73","Davis County, Utah","San Juan County, Utah",1,0,306479,14746
"74","Davis County, Utah","Grand County, Utah",1,0,306479,9225
"75","Davis County, Utah","Navajo County, Arizona",1,0,306479,107449
"76","Davis County, Utah","Kane County, Utah",1,0,306479,7125
"77","Davis County, Utah","Coconino County, Arizona",1,0,306479,134421
"78","Davis County, Utah","Montezuma County, Colorado",1,0,306479,25535
"79","Davis County, Utah","San Juan County, New Mexico",1,0,306479,130044
"80","Davis County, Utah","Apache County, Arizona",1,0,306479,71518
"83","Davis County, Utah","Rio Blanco County, Colorado",1,0,306479,6666
"85","Davis County, Utah","Dallas County, Texas",1,0,306479,2368139
"86","Davis County, Utah","Queens County, New York",1,0,306479,2230722
"87","Davis County, Utah","Sweetwater County, Wyoming",1,0,306479,43806
"88","Davis County, Utah","Daggett County, Utah",1,0,306479,1059
"91","Morgan County, Utah","Tooele County, Utah",1,0,9469,58218
"93","Morgan County, Utah","Wasatch County, Utah",1,0,9469,23530
"96","Morgan County, Utah","Juab County, Utah",1,0,9469,10246
"97","Morgan County, Utah","Cache County, Utah",1,0,9469,112656
"98","Morgan County, Utah","Box Elder County, Utah",1,0,9469,49975
"99","Morgan County, Utah","Millard County, Utah",1,0,9469,12503
"100","Morgan County, Utah","Sevier County, Utah",1,0,9469,20802
"101","Morgan County, Utah","Piute County, Utah",1,0,9469,1556
"102","Morgan County, Utah","Sanpete County, Utah",1,0,9469,27822
"103","Morgan County, Utah","Garfield County, Utah",1,0,9469,5172
"104","Morgan County, Utah","Wayne County, Utah",1,0,9469,2778
"105","Morgan County, Utah","Elko County, Nevada",1,0,9469,48818
"106","Morgan County, Utah","Emery County, Utah",1,0,9469,10976
"107","Morgan County, Utah","Carbon County, Utah",1,0,9469,21403
"108","Morgan County, Utah","Franklin County, Idaho",1,0,9469,12786
"109","Morgan County, Utah","Uinta County, Wyoming",1,0,9469,21118
"110","Morgan County, Utah","Rich County, Utah",1,0,9469,2264
"111","Morgan County, Utah","Lincoln County, Wyoming",1,0,9469,18106
"112","Morgan County, Utah","Washington County, Utah",1,0,9469,138115
"113","Morgan County, Utah","Iron County, Utah",1,0,9469,46163
"114","Morgan County, Utah","Clark County, Nevada",1,0,9469,1951269
"115","Morgan County, Utah","Beaver County, Utah",1,0,9469,6629
"116","Morgan County, Utah","Mohave County, Arizona",1,0,9469,200186
"117","Morgan County, Utah","San Juan County, Utah",1,0,9469,14746
"118","Morgan County, Utah","Grand County, Utah",1,0,9469,9225
"119","Morgan County, Utah","Navajo County, Arizona",1,0,9469,107449
"120","Morgan County, Utah","Kane County, Utah",1,0,9469,7125
"121","Morgan County, Utah","Coconino County, Arizona",1,0,9469,134421
"122","Morgan County, Utah","Montezuma County, Colorado",1,0,9469,25535
"123","Morgan County, Utah","San Juan County, New Mexico",1,0,9469,130044
"124","Morgan County, Utah","Apache County, Arizona",1,0,9469,71518
"125","Morgan County, Utah","Uintah County, Utah",1,0,9469,32588
"126","Morgan County, Utah","Duchesne County, Utah",1,0,9469,18607
"127","Morgan County, Utah","Rio Blanco County, Colorado",1,0,9469,6666
"128","Morgan County, Utah","Los Angeles County, California",1,0,9469,9818605
"129","Morgan County, Utah","Dallas County, Texas",1,0,9469,2368139
"130","Morgan County, Utah","Queens County, New York",1,0,9469,2230722
"131","Morgan County, Utah","Sweetwater County, Wyoming",1,0,9469,43806
"132","Morgan County, Utah","Daggett County, Utah",1,0,9469,1059
"135","Tooele County, Utah","Morgan County, Utah",1,0,58218,9469
"137","Tooele County, Utah","Wasatch County, Utah",1,0,58218,23530
"140","Tooele County, Utah","Juab County, Utah",1,0,58218,10246
"141","Tooele County, Utah","Cache County, Utah",1,0,58218,112656
"143","Tooele County, Utah","Millard County, Utah",1,0,58218,12503
"144","Tooele County, Utah","Sevier County, Utah",1,0,58218,20802
"145","Tooele County, Utah","Piute County, Utah",1,0,58218,1556
"146","Tooele County, Utah","Sanpete County, Utah",1,0,58218,27822
"147","Tooele County, Utah","Garfield County, Utah",1,0,58218,5172
"148","Tooele County, Utah","Wayne County, Utah",1,0,58218,2778
"150","Tooele County, Utah","Emery County, Utah",1,0,58218,10976
"151","Tooele County, Utah","Carbon County, Utah",1,0,58218,21403
"152","Tooele County, Utah","Franklin County, Idaho",1,0,58218,12786
"153","Tooele County, Utah","Uinta County, Wyoming",1,0,58218,21118
"154","Tooele County, Utah","Rich County, Utah",1,0,58218,2264
"155","Tooele County, Utah","Lincoln County, Wyoming",1,0,58218,18106
"156","Tooele County, Utah","Washington County, Utah",1,0,58218,138115
"157","Tooele County, Utah","Iron County, Utah",1,0,58218,46163
"158","Tooele County, Utah","Clark County, Nevada",1,0,58218,1951269
"159","Tooele County, Utah","Beaver County, Utah",1,0,58218,6629
"160","Tooele County, Utah","Mohave County, Arizona",1,0,58218,200186
"161","Tooele County, Utah","San Juan County, Utah",1,0,58218,14746
"162","Tooele County, Utah","Grand County, Utah",1,0,58218,9225
"163","Tooele County, Utah","Navajo County, Arizona",1,0,58218,107449
"164","Tooele County, Utah","Kane County, Utah",1,0,58218,7125
"165","Tooele County, Utah","Coconino County, Arizona",1,0,58218,134421
"166","Tooele County, Utah","Montezuma County, Colorado",1,0,58218,25535
"167","Tooele County, Utah","San Juan County, New Mexico",1,0,58218,130044
"168","Tooele County, Utah","Apache County, Arizona",1,0,58218,71518
"169","Tooele County, Utah","Uintah County, Utah",1,0,58218,32588
"170","Tooele County, Utah","Duchesne County, Utah",1,0,58218,18607
"171","Tooele County, Utah","Rio Blanco County, Colorado",1,0,58218,6666
"172","Tooele County, Utah","Los Angeles County, California",1,0,58218,9818605
"173","Tooele County, Utah","Dallas County, Texas",1,0,58218,2368139
"174","Tooele County, Utah","Queens County, New York",1,0,58218,2230722
"175","Tooele County, Utah","Sweetwater County, Wyoming",1,0,58218,43806
"176","Tooele County, Utah","Daggett County, Utah",1,0,58218,1059
"187","Salt Lake County, Utah","Millard County, Utah",1,0,1029655,12503
"188","Salt Lake County, Utah","Sevier County, Utah",1,0,1029655,20802
"189","Salt Lake County, Utah","Piute County, Utah",1,0,1029655,1556
"190","Salt Lake County, Utah","Sanpete County, Utah",1,0,1029655,27822
"191","Salt Lake County, Utah","Garfield County, Utah",1,0,1029655,5172
"194","Salt Lake County, Utah","Emery County, Utah",1,0,1029655,10976
"196","Salt Lake County, Utah","Franklin County, Idaho",1,0,1029655,12786
"198","Salt Lake County, Utah","Rich County, Utah",1,0,1029655,2264
"199","Salt Lake County, Utah","Lincoln County, Wyoming",1,0,1029655,18106
"201","Salt Lake County, Utah","Iron County, Utah",1,0,1029655,46163
"203","Salt Lake County, Utah","Beaver County, Utah",1,0,1029655,6629
"204","Salt Lake County, Utah","Mohave County, Arizona",1,0,1029655,200186
"205","Salt Lake County, Utah","San Juan County, Utah",1,0,1029655,14746
"206","Salt Lake County, Utah","Grand County, Utah",1,0,1029655,9225
"207","Salt Lake County, Utah","Navajo County, Arizona",1,0,1029655,107449
"208","Salt Lake County, Utah","Kane County, Utah",1,0,1029655,7125
"210","Salt Lake County, Utah","Montezuma County, Colorado",1,0,1029655,25535
"211","Salt Lake County, Utah","San Juan County, New Mexico",1,0,1029655,130044
"212","Salt Lake County, Utah","Apache County, Arizona",1,0,1029655,71518
"215","Salt Lake County, Utah","Rio Blanco County, Colorado",1,0,1029655,6666
"218","Salt Lake County, Utah","Queens County, New York",1,0,1029655,2230722
"220","Salt Lake County, Utah","Daggett County, Utah",1,0,1029655,1059
"221","Wasatch County, Utah","Weber County, Utah",1,0,23530,231236
"222","Wasatch County, Utah","Davis County, Utah",1,0,23530,306479
"223","Wasatch County, Utah","Morgan County, Utah",1,0,23530,9469
"224","Wasatch County, Utah","Tooele County, Utah",1,0,23530,58218
"228","Wasatch County, Utah","Juab County, Utah",1,0,23530,10246
"229","Wasatch County, Utah","Cache County, Utah",1,0,23530,112656
"230","Wasatch County, Utah","Box Elder County, Utah",1,0,23530,49975
"231","Wasatch County, Utah","Millard County, Utah",1,0,23530,12503
"232","Wasatch County, Utah","Sevier County, Utah",1,0,23530,20802
"233","Wasatch County, Utah","Piute County, Utah",1,0,23530,1556
"234","Wasatch County, Utah","Sanpete County, Utah",1,0,23530,27822
"235","Wasatch County, Utah","Garfield County, Utah",1,0,23530,5172
"236","Wasatch County, Utah","Wayne County, Utah",1,0,23530,2778
"237","Wasatch County, Utah","Elko County, Nevada",1,0,23530,48818
"238","Wasatch County, Utah","Emery County, Utah",1,0,23530,10976
"239","Wasatch County, Utah","Carbon County, Utah",1,0,23530,21403
"240","Wasatch County, Utah","Franklin County, Idaho",1,0,23530,12786
"241","Wasatch County, Utah","Uinta County, Wyoming",1,0,23530,21118
"242","Wasatch County, Utah","Rich County, Utah",1,0,23530,2264
"243","Wasatch County, Utah","Lincoln County, Wyoming",1,0,23530,18106
"244","Wasatch County, Utah","Washington County, Utah",1,0,23530,138115
"245","Wasatch County, Utah","Iron County, Utah",1,0,23530,46163
"246","Wasatch County, Utah","Clark County, Nevada",1,0,23530,1951269
